source_id,reading_date,temperature_max,temperature_min,humidity_max,humidity_min,ambient_light_max,ambient_light_min,uvi_max,uvi_min,total_rainfall,soil_moisture_max,soil_moisture_min,soil_temperature_max,soil_temperature_min,soil_conductivity_max,soil_conductivity_min,soil_ph_max,soil_ph_min,leaf_temperature_max,leaf_temperature_min,leaf_humidity_max,leaf_humidity_min
7,"2025-02-01",30.59,9.62,94.81,42.56,69770.97,0,,,,26.6,26,21.67,14.47,109,93,5.5,4.9,,,,
7,"2025-02-02",32.35,9.51,90.6,36.28,63546.83,0,,,,34.13,26.1,21.72,14.22,164.83,91,5.7,4.9,,,,
7,"2025-02-03",30.69,9.4,92.65,39.03,58500.53,0,,,,26.98,26.27,22.58,14.05,134,112.33,5.33,4.27,,,,
7,"2025-02-04",30.25,8.48,93.35,39.03,44888.23,0,,,,27.23,-1,21.12,-1,131.67,-1,5.7,-1,,,,
7,"2025-02-05",31.84,7.46,93.06,33.9,65907.43,0,,,,26.68,25.8,22.17,13.2,133.17,111,5.7,4.58,,,,
7,"2025-02-06",31.63,8.18,92.13,34.72,64665.55,0,,,,26.5,25.8,22.47,13.6,133,111.83,5.8,5,,,,
7,"2025-02-07",31.02,7.92,84.35,35.18,66444.55,0,,,,26.6,25.77,22.28,13.47,134.67,108.17,5.8,5.15,,,,
7,"2025-02-08",31.65,6.99,83.9,34.41,58723.95,0,,,,27.53,25.97,21.92,12.98,137.33,105.83,5.7,4.73,,,,
7,"2025-02-09",32.38,8.26,85.93,34.32,65353.95,0,,,,49.37,26.18,21.87,13.83,197,112,5.7,4.6,,,,
7,"2025-02-10",31.77,8.81,87.53,35.89,66104.92,0,,,,35.32,27.97,22.87,13.98,157,138.4,5.9,5.38,,,,
7,"2025-02-11",29.51,9.95,88.2,38.45,68435.15,0.05,,,,33.2,27.23,22.2,14.28,166.17,131,5.92,4.78,,,,
7,"2025-02-12",30.73,10.46,91.38,38.53,44878.45,0.15,,,,35.25,32.8,20.98,14.78,172,157.17,5.7,5.1,,,,
7,"2025-02-13",30.96,9.51,94.78,35.81,64199,0.15,,,,35.82,27.77,22.45,15.3,158,135,5.92,5.53,,,,
7,"2025-02-14",32.02,7.57,80.41,34.08,63240.42,0.12,,,,30.23,27.7,22.32,13.47,149.67,128.5,6,5.5,,,,
7,"2025-02-15",31.93,9.72,90.31,35.84,62599.38,0.12,,,,29.2,27.6,21.76,14.52,148,129.67,5.8,5.5,,,,
7,"2025-02-16",31.6,9.01,88.71,38.47,59196.18,0.05,,,,28.52,27.63,22.3,14.32,150.83,128.67,5.8,5.5,,,,
7,"2025-02-17",31.28,9.49,84.52,34.84,57559.35,0,,,,28.6,27.15,22.23,14.23,150,127.83,6,4.85,,,,
7,"2025-02-18",30.96,6.8,84.56,35.45,64933.78,0,,,,27.7,25.8,22.37,13.5,143.83,117,5.9,5.5,,,,
7,"2025-02-19",32.9,6.25,88.36,28.51,65487.63,0,,,,26.7,25.35,22.08,13.22,133.83,109,5.9,5.43,,,,
7,"2025-02-20",32.38,7.75,87.63,26.92,64105.12,0,,,,30.58,25.38,21.8,13.6,172,110,5.9,5.5,,,,
7,"2025-02-21",32.58,9.5,74.96,28.23,61906.48,0,,,,26.27,0,40.23,12.5,125.5,0,5.6,3.3,,,,
7,"2025-02-22",30.05,9.52,86.67,30.2,62476.78,0,,,,61.35,0,19.68,10.97,292.17,0,5.17,3.08,,,,
7,"2025-02-23",30.71,9.5,83.25,35.78,64289.22,0,,,,59.97,47.48,19.72,15.18,231.33,182.33,5.4,5.2,,,,
7,"2025-02-24",10.81,10.81,62.87,62.87,0,0,,,,47.3,47.3,16.22,16.22,181.17,181.17,5.2,5.2,,,,